36.906	70.03	25	5.12
27.57	92.636	20	5.29
32.205	92.669	15	5.43
36.412	70.461	210	5.93
27.656	92.655	15	5.44
30.962	95.564	15	5.15
34.044	91.048	15	5.11
17.264	73.822	10	5.01
17.239	73.756	10	5.16
32.83	95.484	15	5.21
35.903	70.78	94.9	6.26
26.836	97.176	15	6.32
26.607	97.104	25	5.11
31.964	78.44	15	5.18
35.241	77.441	15	5.37
32.771	92.237	15	5.35
34.94	73.041	15	5.13
36.203	71.008	135.1	6.29
17.264	73.836	10	5.19
34.124	95.107	15	5.01
9.982	92.938	30	5.64
23.787	94.749	122.3	5.53
31.59	73.535	30	5.16
32.706	92.288	15	5.28
37.484	69.519	28.7	5.09
32.745	92.197	15	5.31
32.788	92.256	15	5.19
32.784	92.266	15	5.19
9.905	92.933	32.3	5.55
21.783	92.894	35	5.43
35.894	90.52	29.5	5.35
36.133	69.017	20	5.23
23.388	70.326	17.4	7.63
23.42	70.18	15	5.48
23.329	70.168	15	5.21
23.3	70.194	10	5.36
23.361	70.418	15	5.26
23.4	70.364	15	5.14
23.421	70.187	15	5.23
23.442	70.174	10	5.75
23.365	70.478	15	5.12
23.334	70.357	15	5.09
35.764	77.687	15	5.18
23.426	70.524	15.7	5.75
23.306	70.406	10	5.35
23.404	70.61	10	5.18
23.617	70.52	5	5.45
23.536	70.196	10	5.38
36.434	70.922	198.4	6.09
23.877	93.639	54.7	5.17
34.332	86.874	15	5.9
32.308	69.392	10	5.26
8.625	93.941	19.5	5.95
30.322	94.821	25.6	5.21
28.862	87.171	10	5.5
30.045	69.838	17.5	5.09
30.113	69.949	9.6	5.18
35.026	69.309	60	5.01
30.871	69.766	35	5.12
32.891	73.131	55	5.06
28.013	84.878	10	5.28
33.108	95.611	33	5.51
12.266	93.408	96.5	5.9
21.117	93.633	38.5	5.29
36.538	69.882	25	5.18
27.332	91.904	21.5	5.38
34.113	79.74	15	5.13
35.964	90.549	10	7.79
35.684	93.314	10	5.7
35.649	93.872	10	5.58
35.608	94.058	10	5.31
35.412	94.495	10	5.05
35.567	93.847	10	5.21
35.568	94.497	10	5.42
35.737	93.729	10	5.56
35.712	93.781	10	5.5
35.744	93.701	10	5.34
36.414	71.534	96.3	6.04
29.556	81.704	20	5.5
29.474	81.72	20	5.41
29.431	81.738	20	5.32
36.042	91.125	10	5.2
35.62	93.947	10	5.08
27.264	88.281	20.7	5.29
35.737	92.913	10	5.23
35.985	70.679	122.6	6.05
33.122	75.935	15	5.23
36.369	70.593	205	7.34
35.959	69.177	10	6.08
35.958	69.157	10	5.28
36.079	69.088	10	5.14
35.983	69.114	10	5.08
36.068	69.201	9.7	5.12
36.05	69.221	10	5.57
35.855	69.267	10	5.85
35.991	69.183	10	5.06
37.258	72.497	10	5.28
36.989	95.35	15	5.15
30.487	81.419	10	5.59
34.019	94.35	25	5.59
30.709	69.918	14	5.73
29.917	88.06	15	5.23
13.04	93.108	30	6.48
13.032	93.162	30	5.72
33.303	93.453	15	5.09
21.158	93.439	39.7	5.1
35.699	92.916	5	5.08
35.084	95.957	10	5.35
35.421	74.695	20	5.32
35.61	74.587	20	5.39
12.762	93.013	32.9	5.77
35.391	74.723	26.9	5.28
35.465	74.646	35	5.16
35.341	74.639	15	6.31
35.393	74.743	35	5.22
35.266	74.763	25	5.18
28.647	94.989	35	5.4
19.394	94.552	51.1	5.56
35.236	74.615	25	5.25
29.895	88.072	7.3	5.29
32.504	93.751	15	5.07
27.235	89.393	50	5.43
12.532	92.625	39.1	5.78
35.932	70.517	101.4	5.82
37.538	96.555	10	6.35
37.507	96.401	22.7	5.17
37.451	96.561	15.4	5.19
32.658	93.039	15	5.13
32.599	92.253	20	5.05
32.564	92.234	20	5.04
30.504	79.299	15	5.24
35.822	80.633	15	5.01
35.724	93.774	5	5.22
34.591	89.475	14.3	5.78
22.867	92.238	10	5.64
22.836	92.291	15	5.43
26.774	96.827	6.7	5.19
12.102	93.509	71	6.01
29.591	95.564	22.3	5.52
35.972	73.388	45.5	5.16
19.836	95.581	15	6.56
19.769	95.643	15	5.26
23.576	93.602	45.6	5.14
31.292	70.277	34.2	5.22
19.826	95.736	5	5.31
19.814	95.622	8	5.18
34.029	70.713	35	5.18
34.782	73.257	14.3	5.41
34.781	73.236	22.1	5.31
37.53	96.623	23	5.04
33.289	91.898	15	5.02
31.601	91.293	10	5.56
36.381	70.761	218.2	5.64
37.553	96.567	9.6	5.08
33.887	89.203	15	5.51
34.024	89.149	15	5.23
33.932	89.231	10	5.97
33.947	89.225	18.4	5
34.145	89.262	10	5.17
34.047	89.197	8.1	5.09
36.518	71.038	181.7	6.47
33.961	89.22	15	5.06
8.889	93.879	21.8	5.57
33.931	89.215	6.8	5.19
37.544	96.712	5	5.36
37.437	96.78	21.6	5.2
37.502	96.609	10	5.52
34.07	89.277	15	5.31
35.818	92.595	5.7	5.29
34.078	89.272	13.6	5.24
30.605	83.702	13	6.19
30.624	83.652	15	5.17
33.317	69.537	10	5.16
12.433	95.013	23.2	5.55
30.637	83.57	13.7	4.98
12.363	94.965	23.4	5.78
12.311	94.852	21.2	5.56
36.446	70.774	205.5	5.99
30.917	69.836	12	5.32
32.547	92.222	5	5.52
15.729	95.664	10	5.68
30.913	81.092	15	5.62
35.303	74.5	15	5.07
32.297	76.539	15	5.16
24.805	92.545	38.2	5.34
35.711	93.225	17.1	4.98
8.876	93.33	25	5.55
12.326	92.556	30	5.69
8.806	92.457	15	5.77
12.16	92.918	30	5.93
12.524	92.518	30	5.89
13.789	93.078	30	6.54
9.172	93.748	27.4	5.24
10.562	92.26	25	6
10.975	92.338	25	5.37
9.309	93.74	34.7	5.46
10.354	93.692	15.8	5.6
13.109	93.073	30	5.98
8.799	92.325	17.1	6.6
8.821	93.816	30	6.33
13.414	92.848	30	6.28
8.693	92.732	35	5.51
13.511	92.876	14	6.19
13.52	92.862	15	5.7
12.942	92.407	30	5.74
12.392	92.512	26	5.56
11.628	92.466	23.8	5.46
9.008	93.689	25	6.02
13.221	92.58	30	5.49
8.781	93.183	30	6.27
8.772	93.131	30	5.83
19.873	95.783	20	5.26
12.227	92.466	22.9	5.62
10.697	92.385	24.3	5.94
10.516	92.162	20	5.44
10.541	91.726	20	5.63
14.75	92.35	21.1	5.51
14.53	92.54	18.5	5.51
9.945	93.976	26	5.54
34.655	73.358	20	5.16
27.719	86.063	15	5.17
24.599	92.45	27.2	5.02
10.829	91.803	13.6	5.49
30.455	83.645	10	6.29
30.487	83.715	19.1	5.44
30.324	83.871	10	5.25
30.403	83.691	19.6	5.04
28.878	94.601	23.9	5.83
36.621	71.193	83.6	5.56
30.046	69.533	15	5.21
36.459	70.775	210.7	5.51
36.961	79.189	14.7	5.41
36.383	69.154	22.3	5
24.582	94.721	84.5	5.66
34.451	73.649	15	7.59
34.228	73.595	15	5.94
34.514	73.312	15	5.72
34.545	73.137	10	5.25
34.662	73.158	20	5.15
34.657	73.115	15	5.81
34.935	73.087	10	5.14
34.642	73.245	12.5	5.51
34.682	73.161	15	5.96
34.73	73.162	15	5.86
34.221	73.638	15	5.21
34.644	73.337	15	5.06
34.533	73.452	15	5.74
34.574	73.523	5	5.64
34.908	73.125	10	5.13
34.583	73.412	20	5.16
34.785	73.189	20	5.28
34.692	73.296	10	5.31
34.233	73.945	13.3	5.15
34.823	73.181	20	5.14
34.709	73.2	12.5	6.43
34.611	73.308	20	5.57
34.647	73.245	20	5.21
34.747	73.166	20	5.62
34.556	73.244	15	5.65
34.739	73.108	20	5.17
34.75	73.123	15	5.71
34.722	73.257	20	5.37
34.647	73.198	20	5.21
34.779	73.234	20	5.13
34.754	73.281	16.2	5.54
34.644	73.311	10	5.38
34.767	73.051	10	5.12
34.782	73.055	10	4.98
34.576	73.23	10	5.36
34.684	73.231	15	5.68
34.704	73.202	10	5.19
34.65	73.21	15.7	4.99
34.748	73.399	10	5.18
34.338	73.666	10	5.36
34.886	73.77	10	5.15
34.883	73.154	13.6	5.27
34.827	73.157	20	5.15
34.025	73.948	11.1	5.32
34.015	73.959	12.8	5.22
34.743	73.121	10	5.01
34.756	73.111	15	5.62
34.823	73.138	15	5.4
34.814	73.141	15	5.14
34.868	73.101	10	5.45
34.673	73.221	20	5.18
34.463	73.633	20	5.15
34.558	73.404	13	5.13
34.755	73.22	15	5.19
36.376	71.199	221.3	6.55
30.482	79.231	25	5.11
35.852	93.207	18.3	5.21
34.645	73.281	15.2	5.23
34.692	73.388	14.8	5.13
24.991	96.065	18.5	5.07
13.004	93.245	44	5.64
11.794	92.378	24.8	6.07
34.359	73.741	10	5.15
27.333	88.385	21.6	5.31
26.927	91.672	15	5.46
26.915	91.652	15	5.35
35.137	89.523	13.3	5.45
35.328	89.544	18.6	5.1
23.708	70.865	10	5.46
34.8	73.773	14.5	5.18
35.419	95.634	24.3	5.32
23.746	70.792	10	4.97
23.237	70.453	21.7	5.54
35.279	89.592	10	5.61
31.577	90.449	10	5.69
30.284	94.876	28	5.17
29.438	80.835	15	5.18
23.329	94.217	49.1	5.56
33.15	76.224	20	5.21
36.929	69.839	29.2	5.23
32.925	96.2	22.1	5.23
32.907	96.186	9.9	5.52
37.229	68.731	15	5.43
37.352	74.67	15	5.6
24.657	92.717	32.7	5
35.534	78.167	12.1	5.5
22.144	93.26	34.5	4.98
21.12	93.422	31.5	5.21
10.58	92.389	25.4	6.18
36.694	73.035	26.5	5.09
33.203	90.528	20.5	5.36
35.669	89.409	18.6	5
35.535	89.446	16.5	5.06
36.452	70.677	221.8	6.25
12.989	92.594	26	5.47
34.315	81.96	10	6.06
34.654	90.082	24.5	4.98
34.203	81.89	10.1	5.19
37.255	68.945	17.5	5.34
25.481	96.608	14.1	5.24
30.858	78.289	24.4	5.27
19.227	95.462	10	5.6
19.248	95.596	13.5	5.01
27.359	87.7	22.9	5.27
30.582	69.869	15	5.3
20.049	93.613	33.4	5.3
35.297	76.657	15	5.16
32.312	85.207	10	6.41
10.417	92.863	48.5	5.83
32.37	85.155	10	5.9
35.425	81.431	15	7.1
35.302	81.283	15	5.37
35.437	81.336	16.3	6.14
33.108	92.114	18.5	5.19
10.944	91.887	21.3	6.57
10.851	91.736	12.7	5.9
10.811	91.761	20.4	6.08
24.765	90.461	16.1	5.17
11.027	91.858	20	6.16
10.946	91.792	16.1	5.69
30.976	83.594	12	6.7
30.847	83.333	12	5.91
36.439	70.915	188.9	5.84
30.788	83.583	10	5.97
33.859	69.482	15	5.95
29.777	90.403	10	6.31
36.504	70.695	204.9	5.74
37.525	95.823	15	6.35
10.835	91.797	16.5	5.51
29.88	82.079	19.5	5.27
22.771	95.814	14.8	5.28
36.43	71.117	154.5	5.82
36.434	70.755	205.2	6.58
36.5	70.926	191.9	5.67
30.593	83.725	20	5.07
34.242	73.834	18.6	5.53
33.21	75.854	15	5.25
32.722	81.755	26.6	4.97
32.788	81.832	15	5.13
31.155	85.896	11.6	5.81
34.94	73.264	20	5.01
35.589	81.632	18.3	5.07
14.07	92.872	30	7.47
24.311	94.671	99.9	5.49
14.091	92.851	40	5.86
26.56	92.446	40	5.15
24.36	94.681	102.5	5.9
27.398	91.433	14	6.12
20.393	94.837	84.6	5.69
30.957	83.482	21.1	5.01
36.513	71.01	184.5	6.15
34.825	80.331	11.9	5
27.268	91.391	22.9	5.12
36.393	70.78	211.7	6.24
34.163	70.012	20	5.28
29.518	86.062	20	5.53
30.76	83.435	18.9	5.05
37.57	96.712	7	5.02
24.4	94.811	117.1	5.64
27.297	91.466	20.4	5.54
30.604	83.764	16.4	5.2
35.921	70.063	130	5.73
36.374	86.895	20.7	5.11
23.052	94.566	104.6	5.5
35.321	74.501	32.5	5.21
34.33	81.692	5	5.16
37.436	74.589	19.4	5.13
37.407	74.655	24.1	4.97
32.458	92.758	10	5.71
32.499	92.789	5	5.45
13.596	92.901	30	6.64
33.172	96.656	15	6.88
32.909	96.905	17.7	5.3
33.187	96.634	15	5.26
33.178	96.454	15	6.07
33.076	96.565	15	5.13
32.587	92.806	17.3	5.3
33.185	96.082	15	5.77
11.173	93.599	115.4	6.48
33.314	96.149	15	5.47
33.333	96.057	8.7	5.14
13.205	93.096	20	5.91
29.882	80.471	25	5.28
29.79	80.431	21.7	4.99
30.355	94.833	37.5	5.14
33.329	96.174	22.6	5.08
23.43	90.667	18.4	5.08
36.502	70.936	213.6	6.25
29.68	69.588	7.3	5.26
33.599	90.935	15	5.12
33.839	72.905	25	5.31
28.622	85.684	52.9	5.21
36.776	87.479	21.5	5.18
34.502	70.429	25.4	5.22
29.796	90.316	20.8	5.31
31.533	70.167	12.6	5.39
30.368	69.528	15	5.03
32.333	69.687	48.4	5.15
30.897	86.501	9.9	5.09
10.636	94.072	20.2	5.46
24.596	94.702	85	6.27
36.512	70.943	193.1	5.81
36.43	70.727	205.3	5.99
27.512	87.947	15	5.16
9.692	92.604	60	5.48
30.554	79.315	15	5.13
21.056	93.793	58	5.15
33.766	87.574	10	5.31
33.083	76.842	20	5.26
36.327	82.555	16.1	5.35
27.756	88.141	45	6.9
21.206	70.614	10	5.11
35.41	81.444	24	4.97
36.503	71.081	215.2	5.68
24.918	95.155	116	5.77
31.803	83.744	22	5.13
30.952	78.327	25	5.29
32.394	82.749	7.3	5.36
35.749	79.849	28.8	5.13
36.758	73.163	25	5.69
26.025	87.742	27.1	5.19
34.323	82.306	15	5.17
8.878	93.903	25.3	5.65
9.008	93.893	27.6	5.86
28.328	84.128	17	5.13
36.024	69.334	23.2	5.28
36.077	69.336	18	5.75
23.56	70.319	10	5.14
25.594	94.672	55.6	5.61
25.328	96.516	35	5.14
36.493	70.892	192.6	5.77
25.44	94.423	50.8	5.31
37.22	71.367	93.9	5.66
25.003	96.397	17.9	5.11
30.001	88.052	24.8	4.99
35.946	87.265	23.6	5.15
22.913	94.263	74.4	5.76
26.139	96.261	35	5.25
30.305	94.809	15	5.19
30.358	94.781	15	5.2
30.395	94.871	15	5.16
35.665	82.574	10	6.2
34.832	73.688	18.1	5.02
26.576	92.564	46.8	5.15
28.442	82.669	15	4.97
35.133	89.705	15	5.01
36.324	69.137	26.5	5.19
31.844	78.504	13.8	5.16
36.139	69.2	32.5	5.23
23.788	81.269	15	5.22
22.973	95.828	20	6.85
22.821	95.873	15	5.11
22.868	95.804	15	5.14
22.79	95.817	10	5.13
22.742	95.749	20	5.88
23.211	95.77	20	5.58
22.462	94.72	142.2	5.49
22.844	95.799	26.8	4.98
35.673	70.574	111.9	5.57
25.33	95.018	91	5.83
29.695	81.647	22.3	5.28
36.389	68.826	25.5	5.19
32.882	94.654	19.6	5.24
34.346	85.638	10	5.58
24.688	92.207	45.1	5.24
28.721	82.27	15	5.14
23.087	95.86	15	5.19
19.26	95.568	15	5.28
19.225	95.583	15	5.08
